campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,net_profit,z_score_budget,z_score_roi,cost_per_conversion,is_profitable
Public-key multi-tasking throughput,2023-04-01,2024-02-23,8082.3,0.35,email,B2B,organic,87.79598381648788,709593.48,701511.1799999999,-0.16324899095037126,-0.7090750478359275,92.06,True
De-engineered analyzing task-force,2023-02-15,2024-04-22,17712.98,0.74,email,B2C,promotion,29.165566719998555,516609.1,498896.12,-0.13247015267019296,0.7828854622092007,607.33,True
Balanced solution-oriented Local Area Network,2022-12-20,2023-10-11,84643.1,0.37,podcast,B2B,paid,5.413641749888649,458227.42,373584.31999999995,0.08143284686389253,-0.6325642524489978,15635.15,True
Distributed real-time methodology,2022-09-26,2023-09-27,14589.75,0.47,webinar,B2B,organic,6.165885638890317,89958.73,75368.98,-0.14245173144571052,-0.2500102755143496,2366.21,True
Front-line executive infrastructure,2023-07-07,2024-05-15,39291.9,0.3,social media,B2B,promotion,1.2091894258104088,47511.35,8219.449999999997,-0.06350575047420008,-0.9003520363032516,32494.41,True
Upgradable transitional data-warehouse,2023-06-29,2023-12-13,75569.28,0.59,social media,B2C,referral,7.38795063284975,558302.11,482732.82999999996,0.0524336860192328,0.20905449680722826,10228.72,True
Innovative context-sensitive framework,2023-03-01,2024-02-23,28964.45,0.59,email,B2C,referral,5.968785528466793,172882.59,143918.13999999998,-0.09651140670996197,0.20905449680722826,4852.65,True
User-friendly client-driven service-desk,2023-01-06,2023-12-11,36800.58,0.4,webinar,B2C,promotion,5.604299171371755,206241.46,169440.88,-0.07146779836533278,-0.5177980593686032,6566.49,True
Proactive neutral methodology,2022-09-06,2024-01-11,40493.88,0.16,webinar,B2C,organic,18.14485942073222,734755.76,694261.88,-0.059664324112197756,-1.435927604011759,2231.7,True
Intuitive responsive support,2022-11-25,2024-04-04,1816.22,0.81,social media,B2C,referral,310.13880477034724,563280.3,561464.0800000001,-0.18327485236105667,1.0506732460634547,5.86,True
Multi-lateral dedicated workforce,2023-06-15,2024-06-15,94084.21,0.58,podcast,B2B,referral,4.3208394904947385,406522.77,312438.56,0.11160583546650149,0.1707990991137634,21774.52,True
Cross-platform demand-driven encoding,2023-07-21,2023-11-04,64041.37,0.16,social media,B2B,promotion,2.7242151440545386,174462.47,110421.1,0.01559146121283803,-1.435927604011759,23508.19,True
Networked even-keeled toolset,2023-03-16,2023-09-05,49375.81,0.58,social media,B2B,organic,13.7803693752062,680416.9,631041.0900000001,-0.03127842746877653,0.1707990991137634,3583.05,True
Optional actuating standardization,2023-07-04,2024-05-06,14810.62,0.94,webinar,B2B,referral,32.242287628742076,477528.27,462717.65,-0.14174584961691514,1.547993416078497,459.35,True
Innovative web-enabled function,2022-11-05,2023-09-05,36848.3,0.92,webinar,B2C,referral,0.11373523337575953,4190.95,-32657.350000000002,-0.07131528928365524,1.4714826206915677,323983.16,False
Configurable methodical service-desk,2023-03-23,2023-11-07,21510.43,0.23,email,B2B,referral,1.0774703248610091,23176.85,1666.4199999999983,-0.12033382383078985,-1.1681398201575053,19963.83,True
Cross-group empowering attitude,2022-09-14,2024-01-25,99520.93,0.52,podcast,B2C,paid,3.879927066597951,386133.95,286613.02,0.12898113250208054,-0.05873328704702534,25650.21,True
Intuitive didactic installation,2023-06-24,2024-03-27,19213.46,0.17,email,B2B,organic,48.15762127175429,925274.53,906061.0700000001,-0.12767474556886246,-1.397672206318294,398.97,True
Fundamental dedicated encryption,2023-07-16,2023-08-17,17573.23,0.38,email,B2B,promotion,26.20803005480495,460559.74,442986.51,-0.13291678184379804,-0.594308854755533,670.53,True
De-engineered 4thgeneration moratorium,2022-09-26,2024-05-30,25396.4,0.45,email,B2C,promotion,11.532561701658501,292885.55,267489.14999999997,-0.10791459256242411,-0.32652107090127913,2202.15,True
Managed upward-trending website,2023-02-07,2024-02-07,34644.22,0.2,podcast,B2B,referral,13.825692424306277,478980.33,444336.11,-0.07835934244257813,-1.2829060132378998,2505.79,True
Self-enabling human-resource infrastructure,2023-04-20,2024-01-09,60274.59,0.69,webinar,B2B,organic,16.160026306275995,974038.96,913764.37,0.003553151097974888,0.5916084737418764,3729.86,True
Cross-platform 24/7 archive,2023-01-16,2024-07-15,79680.62,0.9,email,B2B,promotion,5.465875642031902,435524.36,355843.74,0.06557318073557973,1.394971825304638,14577.83,True
Future-proofed local forecast,2023-08-01,2023-08-11,46775.63,0.67,webinar,B2B,referral,17.41659663375993,814672.28,767896.65,-0.03958838270759185,0.5150976783549471,2685.69,True
